,loss,accuracy,val_loss,val_accuracy
0,1.809766173362732,0.49078303575515747,0.3406354486942291,0.8895691633224487
1,0.5137667059898376,0.8413280248641968,0.11348152160644531,0.9659863710403442
2,0.3226901590824127,0.8989966511726379,0.09323430061340332,0.9691609740257263
3,0.23917897045612335,0.9248974919319153,0.07067375630140305,0.9809523820877075
4,0.19850708544254303,0.9384979605674744,0.0616721585392952,0.9791383147239685
5,0.171247661113739,0.9465315341949463,0.05475824326276779,0.9809523820877075
6,0.14988279342651367,0.953531801700592,0.056655336171388626,0.981632649898529
7,0.1378198266029358,0.9566985368728638,0.08071710169315338,0.9757369756698608
8,0.12741582095623016,0.960532009601593,0.0644950121641159,0.97981858253479
9,0.12191471457481384,0.9629321098327637,0.05654275789856911,0.9836734533309937
10,0.10890240967273712,0.9649666547775269,0.040631406009197235,0.9863945841789246
11,0.10416127741336823,0.9678655862808228,0.06377475708723068,0.982086181640625
12,0.09963460266590118,0.9694656729698181,0.0371946357190609,0.9895691871643066
13,0.09310407191514969,0.9716323614120483,0.04234762862324715,0.9875283241271973
14,0.09362291544675827,0.971865713596344,0.0396573580801487,0.9900226593017578
